,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
402,perry como,between the devil and the deep blue sea,1958,pop,want hate lose devil deep blue forgive cause forget devil deep blue ought cross list come knockin door fate heart twist runnin hate guess devil deep blue instrumental bridge devil deep blue instrumental bridge devil deep blue ought cross list come knockin door fate heart twist runnin hate guess devil deep blue devil deep blue deep blue revue rhythmmania,59,0.0010526316501929,0.4218992157646962,0.0010526316479403,0.0010526315896763,0.0010526315840898,0.0010526315815802,0.0010526315854403,0.0010526316770694,0.0010526316208753,0.187561779560084,0.0010526316127797,0.001052631598909,0.00105263158174,0.001052631587682,0.1955678501631301,0.0010526315807192,0.6458355897324813,0.594441453221547,0.8965862415524515,1.1740890688259108e-06,0.6908491343775762,0.2302061886217067,violence,0.8857142857142857
631,johnny mathis,stairway to the sea (scalinatella),1959,pop,deep night climb stairway pretend close watch stairway mist softly kiss lovers hide voice keep call lonely prisoner stairway wait return till memories burn pray stairway soon whisper wait return till memories burn pray stairway soon whisper,37,0.0017543859704373,0.001754386047184,0.0017543860650662,0.0017543861406319,0.0017543859649124,0.0017543861488334,0.1339761297022629,0.0017543859916513,0.0017543859779702,0.1481723226482835,0.0017543859888368,0.3912303261871793,0.0017543860247241,0.0017543859695354,0.3003054312589638,0.0017543859652598,0.2256038124120004,0.6995359331333486,0.712851117320399,0.0,0.4280708985985161,0.5004849000289098,sadness,0.8714285714285714
645,ira ironstrings,let it snow! let it snow! let it snow!,1959,pop,want want walk floor mobile home feel like home leave tell come home forgive forget tire sleep freeze cold baby aren cool wait ponderosa trailer wasn apart break heart double wide double wide double wide paradise come double wide paradise double wide double wide paradise buy swim pool sear fill tear happiness matter cause treasure world mean aren girl inside castle size blue wait baby feel know leave porch light come home second honeymoon throw rib barbecue like,78,0.1052906939442303,0.0009398497024384,0.0860061483650367,0.0419753696685683,0.0009398496276533,0.0009398496373015,0.0009398496375358,0.0009398497208539,0.0009398496738487,0.116844507385788,0.0571485085607637,0.04890978857413,0.0009398496335208,0.0687322252099167,0.3848072404920568,0.0009398496998508,0.3739846203834074,0.5168320385611362,0.3192764249763303,0.92914979757085,0.9587798845836768,0.4053868349041531,sadness,0.8714285714285714
1350,harry belafonte,land of the sea and sun,1961,pop,nights memories score think nights spend girl go days go land ocean bout bajin girl thoughts motion heart whirl go days go land leave nothings think pull ancor go go days go land go days go land,37,0.0016447368570009,0.0016447369063513,0.3145418827152957,0.0016447369005417,0.001644736849371,0.0016447368487964,0.001644736867411,0.0016447369968812,0.0552277185519591,0.0016447368888372,0.0016447369564413,0.0016447369066417,0.1266447368293639,0.0728031504306543,0.0984458156703053,0.2739967189657192,0.67507852269035,0.4174807066123117,0.9548192317462166,0.0002945344129554,0.6197444352844187,0.1000719942404607,world/life,0.8428571428571429
2005,the beach boys,lonely sea,1963,pop,lonely lonely stop move oooooooooooo oooooooooooo stay oooooooooooo stay oooooooooooo pain heart ooooooooo tear eye ooooooooo tell truth ooooooooo like lonely lonely lonely lonely lonely lonely lonely,27,0.0025062656979531,0.0025062658016449,0.0025062657136831,0.0025062657283505,0.0025062656653733,0.0025062656830782,0.0025062657073148,0.0481137860992253,0.002506265763124,0.0025062656943446,0.0025062657086826,0.0025062657312117,0.0025062656719878,0.0025062659812839,0.8139779349875295,0.0025062656711167,0.0707245748944005,0.4695279850267927,0.7530118002126509,5.050607287449393e-06,0.0781121187139324,0.1130854136785853,sadness,0.8142857142857143
2105,the searchers,sea of heartbreak,1964,pop,light harbor shine like lose ship heartbreak lose loneliness memories caress divine wish dear tear heartbreak lose fail leave sail heartbreak lose loneliness memories caress divine wish dear tear heartbreak sail shore arm come rescue come away heartbreak lose loneliness memories caress divine wish dear tear heartbreak hearbtreak heartbreak heartbreak heartbreak,51,0.0016977931234459,0.0016977929181478,0.0016977929256537,0.0016977928838558,0.0016977928692701,0.0016977928696095,0.1218415492669027,0.0016977928952324,0.0016977929045335,0.0016977929240173,0.0016977928948402,0.271277357094401,0.0016977929011405,0.0016977929854438,0.4705348699363139,0.0016977928718448,0.533196144265136,0.6415916724354536,0.8303211147802358,0.0,0.6259274525968672,0.5305158679630435,sadness,0.8
2195,brenda lee,rockin' around the christmas tree,1964,pop,rockin christmas tree christmas party mistletoe hang couple try stop rockin christmas tree christmas spirit ring later pumpkin carol sentimental feel hear voice sing jolly deck halls boughs rockin christmas tree holiday dance fashion sentimental feel hear voice sing jolly deck halls boughs rockin christmas tree holiday dance fashion,49,0.0022883295213664,0.0022883296011413,0.0022883295444342,0.002288329543743,0.0022883295197241,0.0022883295358386,0.002288329519451,0.0022883297532472,0.084997931368289,0.3666882405210108,0.1563833292449618,0.1462529547423558,0.0967439619698264,0.0022883295389767,0.0022883296388093,0.0834649389475168,0.5711036499512618,0.6898956490526369,0.6164654783789945,0.0,0.9010717230008244,0.4724559966237183,music,0.8
3205,the beach boys,country air,1967,pop,breath country breathe beauty look clear blue come breath country breathe beauty mother nature fill eye breath country breathe beauty rise early sleep ahahhhaaaa ahahhhaaaa ahahhhaaaa,26,0.0022883296218775,0.3722987467911699,0.0022883295878462,0.0022883295657505,0.0022883295227314,0.0022883295611619,0.002288329530559,0.002288329536374,0.002288329535509,0.0022883300497739,0.2495274121705737,0.2956719627691165,0.0481769342684274,0.0022883296731032,0.0022883295878633,0.0022883296378575,0.3035849669663165,0.6795887495833653,0.1676698470580793,0.1568825910931174,0.1364385820280296,0.3042825761925697,violence,0.7571428571428571
4806,albert hammond,the air that i breathe,1972,pop,wish think pass think need cigarettes sleep light sound book read make leave peaceful warm tire leave desire peace come leave weak sleep silent sleep need breathe need breathe need breathe peace come leave weak sleep silent sleep need breathe need breathe need breathe peace come leave weak sleep silent sleep,51,0.0011198209379369,0.4986139868196148,0.0011198208767634,0.0011198209262568,0.1488662462742855,0.0011198208311251,0.001119820884763,0.0011198209726925,0.0011198208637406,0.0011198208914391,0.0011198208788585,0.0612824322222131,0.0783933223126656,0.001119820874704,0.1971665201010953,0.0011198208322628,0.2548467453698689,0.6124400687126631,0.638553853969733,1.771255060728745e-06,0.2477328936521022,0.2322082531506489,violence,0.6857142857142857
4832,roxy music,sea breezes,1972,pop,think long time separate shame think yesterday shame shame shame run round present state hop help come angels mistake lonely life hard word lonely make thoughttrain motion wheel express emotion track crack run round present state hop help come angels mistake,41,0.0015037595203931,0.0015037595377215,0.5095392960129812,0.0015037595478477,0.0015037593999116,0.0015037596324414,0.0015037594175332,0.0015037595281269,0.0015037594757601,0.0015037594719397,0.1920393788650142,0.0704711052367322,0.0015037594575709,0.0015037594314747,0.1346642571101959,0.001503759402176,0.3826491931116647,0.6468733174371202,0.554216419896004,0.062246963562753,0.0153544929925803,0.274251608258436,world/life,0.6857142857142857
